Avdeling,Hva er din rolle?,Bruker du KI-verktøy i jobben din?,Hvilke KI-verktøy bruker du?,Hvilke språkmodeller foretrekker du?,Bruker du KI-funksjonalitet integrert i eksisterende domenespesifikke fagsystemer? ,Hvem betaler for KI-verktøyet?,Til hvilke oppgaver bruker du KI?,Hvorfor bruker du KI?,Hva opplever du som den største gevinsten ved bruk av KI?,Hvor trygg føler du deg på bruk av KI i jobben?,Har du fått opplæring i KI gjennom jobben?,Hva slags opplæring ønsker du?,"Kjenner du til Digdirs retningslinje for bruk av generativ KI?
BOD;,Innleid konsulent;Backend-utvikler;,"Ja, daglig",ChatGPT Plus (betalversjon);Github Copilot;Claude Desktop;Claude Code;,Claude funker bra for koding.,Nei.,Betaler selv;,Tekstproduksjon;Kodegenerering;Oversettelse;Beslutningsstøtte;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;Læring. Henge med i utviklingen.;,Rask produksjon av den ikke så veldig kompliserte delen av koden.,Svært trygg,Ja,Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Bruk av KI i saksbehandling;Har ikke behov for mer opplæring nå;,Ja,Usikkerhet rundt hva som er lov og tillatt;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis uenig,Delvis uenig,Verken uenig eller enig,Verken uenig eller enig,Verken uenig eller enig,Helt enig
BOD;,Seniorrådgiver;,Av og til,ChatGPT (gratisversjon);Microsoft Copilot M365 ;Google Gemini;,,Nei, Benytter gratisversjon;Anskaffet gjennom IT Drift;,Analyse og rapportering;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;Tekstproduksjon;,Effektivisering;Økt kvalitet;,"rask og enkel måte å få oversikt over et tema, raskt utføre en grov-analyse osv. ChatGPT kan konfigureres til å være kritisk og ""opponere"" dine ideer eller påstander ",Verken utrygg eller trygg,Nei,Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende kompetanse;Uklare retningslinjer;Usikkerhet rundt hva som er lov og tillatt;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Delvis enig,Delvis enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Designer;Leder;Seniorrådgiver;,"Ja, daglig",Google Gemini;Claude i nettleser;Claude Desktop;Claude Code;,"Claude ettersom det gir meg muligheten til å bruke samme modell både for vanlig admin arbeid, idegenerering, samt context engineering. Samtidig opplever jeg at svarene har en høyere kvalitet enn det jeg har opplevd med andre modeller tidligere. Når det er sagt så er det fortsatt en høy grad av lange svar med gjentagende informasjon som en må ""tvinge"" modellen til å korte ned og ""agreeableness"" i svarene.","Nei, jeg opplever ikke co-pilot innebygd i microsoft sine produkter som verken brukervennlig eller noe særlig nyttige i måten det er satt opp på.",Betaler selv;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kodegenerering;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;,Kreativitet og innovasjon;Effektivisering;Økt kvalitet;,En sparringspartner som hjelper en å tenke. Men som med en vanlig kollega så er det alltid fint å ikke stole blindt på det som blir sagt.,Ganske trygg,Nei,Teknisk forståelse;Informasjonssikkerhet og risiko;Praktisk bruk av KI-verktøy;,Ja,Manglende tid til å lære;Manglende integrasjon med Digdirs systemer;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Verken uenig eller enig,Verken uenig eller enig,Helt enig,Helt enig,Helt enig,Helt enig
BOD;,Backend-utvikler;,"Ja, daglig",ChatGPT (gratisversjon);Github Copilot;Google Gemini;Claude Desktop;CoderabbitAI;,,, Benytter gratisversjon;,Kodegenerering;Oversettelse;Prosessautomatisering;,Effektivisering;Økt kvalitet;,"Effetivisering, løser problemer når jeg har ""kjørt meg fast""",Ganske trygg,Nei,Informasjonssikkerhet og risiko;,Nei,Manglende tid til å lære;Usikkerhet rundt hva som er lov og tillatt;Manglende tilgang til riktige verktøy;,Nøytral,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;,"Ja, daglig",Microsoft Copilot M365 ;ChatGPT Plus (betalversjon);,,"Nei, ikke ennå.","Anskaffet gjennom IT Drift;Betaler selv, men får refundert fra Digdir;",Tekstproduksjon;Oversettelse;Kodegenerering;Kundeservice;Beslutningsstøtte;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,,Ganske trygg,Ja,Etikk og personvern;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende tid til å lære;Usikkerhet rundt hva som er lov og tillatt;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Delvis enig,Helt enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Innleid konsulent;,"Ja, ukentlig",ChatGPT (gratisversjon);,,, Benytter gratisversjon;,Søke etter åpen informasjon om programmeringsspråk på internett;,,Mye mer detaljerte og spesifikke søkeresultater,Svært trygg,Ja,Etikk og personvern;Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;Bruk av KI i saksbehandling;,Ja,Manglende kompetanse;Uklare retningslinjer;Usikkerhet rundt hva som er lov og tillatt;,Svært skeptisk,Jeg er skeptisk til bruk av KI i jobbsammenheng.,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Førstekonsulent;,"Ja, daglig",Microsoft Copilot M365 ;Github Copilot;,,,Betaler for noe selv;,"Hjelp med feilmeldinger, og eksempler for tester som skal skrives;",Effektivisering;Kreativitet og innovasjon;,"Kan være mer effektiv, med at den kan fortelle hva som mangler eller burde forbedres (med testing)",Ganske trygg,Nei,Etikk og personvern;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Usikkerhet rundt hva som er lov og tillatt;Ingen vesentlige barrierer;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Delvis enig,Helt enig,Helt enig,Helt enig
BOD;,Rådgiver;,"Ja, daglig",ChatGPT Business;Microsoft Copilot M365 ;Github Copilot;,ChatGPT,Bruker Github Copilot i Github/VSC,Anskaffet gjennom IT Drift;,Tekstproduksjon;Kodegenerering;,Effektivisering;Kreativitet og innovasjon;,"Arbeidet blir mer effiktivisert, da det hjelper til med å formulere skriv og også viser eksempler på hvordan et visst problem kan løses gjennom koding",Ganske trygg,Nei,Informasjonssikkerhet og risiko;Etikk og personvern;,Ja,Usikkerhet rundt hva som er lov og tillatt;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Verken uenig eller enig,Helt enig,Delvis enig,Helt enig
BOD;,Seniorrådgiver;,"Ja, ukentlig",Microsoft Copilot M365 ;,"alle har styrker og svakheter. Foretrekker språkmodeller som er godt oppdratt på en oppgave, med filtre som fjerner feil og hallusinasjoner. Synes det er en skandale at kun copilot tilbys til ansatte i digdir. Har forsøkt å ""oppdra"" den, med kvalitetsikrede kilder ol., men dette føles litt som å ha en full trainee til å skulle gjøre jobben. Misforstå rett - jeg er positiv til bruk av KI, i vertikale spesialiserte løsninger. Videre foretrekker jeg KI som jeg ikke trenger å forholde meg til.","Nei, med mindre support ligger bak en mur av det.",Anskaffet gjennom IT Drift;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kodegenerering;dokumentasjon;,"Effektivisering;Krav fra ledelse/prosjekt;Ressursmangel;Følelsen er at jeg blir mindre effektiv, selv om produktene kanskje kommer raskere ut.;","I dag: mulighet for å churne store mengder informasjon, enkel kodegenerering, excelformler. I fremtiden: erstatte backofficefunksjoner som gjør repetitive oppgaver, bidra til oppdatert info over alt. Frigjøre menneskelig kapasitet til å se, og ta vare på hverandre, være kreative og innovative, og lage gode strategier, epics, features og brukerhistorier som gir verdi for ekte folk.",Ganske utrygg,fikk tilbud men kunne ikke delta digitalt så nei. Ellers jobbet med dette og tatt elements of ai osv.,"Etikk og personvern;Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;mener at arbeidsgiver burde ta mye mer ansvar når det kommer til dette, men i fravær av det er opplæringsbehovet enormt slik jeg ser det.;",Ja,Manglende tilgang til riktige verktøy;Personvern;Usikkerhet rundt hva som er lov og tillatt;Uklare retningslinjer;ansvarsfordelingen innbyr ikke til utprøving utover det arbeidsgiver selv tilbyr.;,Ganske skeptisk,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Helt enig,Helt enig,Delvis enig,Helt enig
BOD;,Fagdirektør;Frontend-utvikler;Backend-utvikler;,"Ja, ukentlig",ChatGPT Plus (betalversjon);Github Copilot;Google Gemini;Apple Intelligence;Claude Code;,Claude og Gemini,CodeRabbit integrert i Github,"Betaler for noe selv;Betaler selv, men får refundert fra Digdir;Anskaffet gjennom IT Drift;",Tekstproduksjon;Oversettelse;Kodegenerering;,Effektivisering;Økt kvalitet;,Effektiviserer utviklingen,Ganske trygg,Ja,Praktisk bruk av KI-verktøy;,Ja,Manglende tid til å lære;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis uenig,Delvis enig,Helt enig,Delvis enig,Helt enig
BOD;,Innleid konsulent;,"Ja, ukentlig",Cursor med Claude Sonnet 4.5;,De som presterer bra mtp kode,Nei,Betaler selv;,Kodegenerering;,Effektivisering;,"Klarer å gjennomføre noen oppgaver raskere. Er litt som å ha en junior-kollega som jobber veldig kjapt, men med varierende grad av kvalitet. Fungerer veldig bra til visse oppgaver, men jeg må dobbeltsjekke alt den leverer.",Ganske trygg,Nei,Har ikke behov for mer opplæring nå;,Ja,Ingen vesentlige barrierer;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Verken uenig eller enig,Delvis enig,Verken uenig eller enig,Helt enig
BOD;,Rådgiver;,"Ja, daglig",ChatGPT Plus (betalversjon);ChatGPT (gratisversjon);Microsoft Copilot M365 ;,,,"Betaler selv, men får refundert fra Digdir;Anskaffet gjennom IT Drift;",Tekstproduksjon;Analyse og rapportering;Oversettelse;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;Standardisering;,Effektivisering,Ganske trygg,Ja,Har ikke behov for mer opplæring nå;,Nei,"Det kommer retningslinjer, men de blir ikke forankret. Også forvirrende når retningslinjene er det helt motsatte av faktisk praksis. Retningslinjer bør forankres, ikke bare publiseres.;",Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Verken uenig eller enig,Delvis enig,Delvis uenig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Fagdirektør;,"Ja, daglig",ChatGPT Plus (betalversjon);,Jeg vet ikke- Chatgpt?,No,BOD kort;,Tekstproduksjon;Oversettelse;Analyse og rapportering;Beslutningsstøtte;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,Språk og tekst generering,Ganske trygg,Ja,Etikk og personvern;Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;Bruk av KI i saksbehandling;,Ja,Manglende kompetanse;Uklare retningslinjer;Usikkerhet rundt hva som er lov og tillatt;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
BOD;,Designer;,"Ja, daglig",ChatGPT (gratisversjon);Codex;Github Copilot;Figma AI;Cursor;,,,"Anskaffet gjennom IT Drift;Betaler selv, men får refundert fra Digdir;",Tekstproduksjon;Analyse og rapportering;Kodegenerering;Oversettelse;Ideutvikling;,,,Verken utrygg eller trygg,Ja,Etikk og personvern;Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Juridiske rammer;Bruk av KI i saksbehandling;,Ja,Uklare retningslinjer;Manglende kompetanse;Usikkerhet rundt hva som er lov og tillatt;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",,,,,,
BOD;,Seniorrådgiver;,"Ja, ukentlig",Microsoft Copilot M365 ;ChatGPT (gratisversjon);Microsoft Copilot Plugins (MCP);,GPT-4 og Gemini,"Ja, jeg bruker Playwright MCP som er bygget på Microsoft Copilot Plugins (MCP).",Betaler selv;,Testautomatisering;,Kreativitet og innovasjon;Økt kvalitet;,"Tidligere ""boilerplate"" kode genereres automatisk og ikke teknisk personell kan drive med testautomatisering",Verken utrygg eller trygg,Nei,Har ikke behov for mer opplæring nå;,Ja,Prioriteringer i prosjekter;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
BOD;,Backend-utvikler;,"Ja, daglig",ChatGPT Plus (betalversjon);Codex;Apple Intelligence;Github Copilot;,ChatGPT,"Skjeldent, burde prøve dem mer","Betaler selv, men får refundert fra Digdir;",Kodegenerering;Prosessautomatisering;,Effektivisering;Økt kvalitet;,Du har en sparringspartner som kan hjelp deg med å finne den beste løsningen og kan effektivisere deg med å gi deg forslag og fylle ut en del kode,Svært trygg,Nei,Etikk og personvern;Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Teknisk forståelse;,Nei,Ingen vesentlige barrierer;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Delvis enig,Helt enig,Helt enig,Helt enig
BOD;,Leder;,"Ja, daglig",ChatGPT (gratisversjon);Microsoft Copilot M365 ;Github Copilot;Google Gemini;,Mikser,, Benytter gratisversjon;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kodegenerering;Beslutningsstøtte;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,Mye mer effektiv i å komme i gang,Verken utrygg eller trygg,Nei,,Ja,Ingen vesentlige barrierer;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Verken uenig eller enig,Verken uenig eller enig,Delvis enig,Helt enig,Verken uenig eller enig
BOD;,Backend-utvikler;,"Ja, ukentlig",Codex;,gpt-5.2,Nei,"Betaler selv, men får refundert fra Digdir;",Tekstproduksjon;Kodegenerering;Ideutvikling;,Krav fra ledelse/prosjekt;,"Oversetting av språk, Slippe å gjøre enkle og repitisjon oppgaver",Ganske trygg,Nei,Informasjonssikkerhet og risiko;Juridiske rammer;Etikk og personvern;,Nei,Personvern;,Svært skeptisk,Jeg er skeptisk til bruk av KI i jobbsammenheng.,Helt enig,Verken uenig eller enig,Delvis enig,Delvis enig,Delvis uenig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Backend-utvikler;team-Arkitekt;,"Ja, daglig",Codex;Claude Code;,Opus 4.5 og GPT 5.2 Codex,Nei,Betaler selv;,Tekstproduksjon;Oversettelse;Kodegenerering;Beslutningsstøtte;Ideutvikling;,"Læring, undersøker hvorvidt det kan føre til effektivisering og økt kvalitet. Det er ikke noe klart svar ennå;","Review, sparring/ide-myldring/planlegging",Ganske trygg,Nei,"Tror dette er for nytt til at formalisert opplæring har noe nytteverdig. Ting forandrer seg daglig, her er det bare å henge med og holde seg oppdatert;",Nei,Usikkerhet rundt hva som er lov og tillatt;Kvalitet i output. Modeller/harness har fortsatt klare mangler ift kvalitet på det som kommer ut. Fortsatt uklart hvor mye tid man da sparer til slutt;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis uenig,Delvis uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig
BOD;,Innleid konsulent;,"Ja, daglig",Microsoft Copilot M365 ;,,,Anskaffet gjennom IT Drift;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Beslutningsstøtte;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;Standardisering;,,Ganske trygg,Ja,"Vanskelig å svare på om man trenger opplæring, mer erfaring. Man trenger hvertfall å oppleve og ekperimentere med nye funksjonaliteter i arbeidsprosessenesine.;",Ja,Manglende tid til å lære;Manglende tilgang til riktige verktøy;Lite relevans for mine arbeidsoppgaver;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Verken uenig eller enig,Delvis enig,Helt enig,Helt enig
BOD;,Seniorrådgiver;,"Ja, daglig","Github Copilot;Microsoft Copilot M365 ;ChatGPT (gratisversjon);Azure AI-tjenester;Google Gemini;Claude i nettleser;perplexity, notebooklm, grok, deepseek, warp, zed, mcp, swarms, tambo;Claude Code;",Claude og Gemini,Ja,"Betaler selv, men får refundert fra Digdir; Benytter gratisversjon;",Analyse og rapportering;Kodegenerering;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;Ressursmangel;Standardisering;,Redusert tidsforbruk og rikere tekst hvor man hadde holdt seg veldig kort.,Verken utrygg eller trygg,Nei,Bruk av KI i saksbehandling;Juridiske rammer;Informasjonssikkerhet og risiko;Teknisk forståelse;Praktisk bruk av KI-verktøy;Etikk og personvern;,Ja,Manglende tid til å lære;Manglende tilgang til riktige verktøy;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Delvis enig,Delvis enig,Delvis enig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Innleid konsulent;,"Ja, daglig",ChatGPT Plus (betalversjon);Codex;Claude Code;,"Codex, gpt 5.2-codex",,Betaler selv;,Kodegenerering;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,Har blitt et verktøy for læring og produserer resultat raskere,Ganske trygg,Nei,,Nei,Uklare retningslinjer;Usikkerhet rundt hva som er lov og tillatt;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Delvis enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,DevOps Engineer;,"Ja, daglig",ChatGPT Plus (betalversjon);Github Copilot;Google Gemini;Claude Code;Claude i nettleser;,Forskjellige modeller til forskjellige oppgaver. De har hver sine forskjellige styrker.,Nei,Betaler selv;,Kodegenerering;Analyse og rapportering;Ideutvikling;Beslutningsstøtte;,Effektivisering;Kreativitet og innovasjon;,"Slipper å gjøre gjentagene oppgaver, med mindre sjanse for slurve feil",Svært trygg,Nei,,Ja,Økonomi;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Verken uenig eller enig,Delvis enig,Verken uenig eller enig,Verken uenig eller enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Innleid konsulent;Backend-utvikler;,"Ja, daglig",Microsoft Copilot M365 ;Github Copilot;,,Github copilot integrert i IDE,Betalt av konsulenthus;,Tekstproduksjon;Oversettelse;Kodegenerering;Kundeservice;,Effektivisering;,Skriver enkel kode raskt,Svært trygg,Ja,Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;,Nei,Ingen vesentlige barrierer;Manglende tilgang til riktige verktøy;KI som kjenner Altinn platformen;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Helt enig,Delvis enig,Delvis enig,Helt enig,Helt enig
BOD;,Backend-utvikler;Frontend-utvikler;,"Ja, daglig",ChatGPT (gratisversjon);Github Copilot;Claude Code;,Ingen spesifikk preferanse,"Bruker integrerte verktøy i VSCode og Rider, samt Claude Code cli. For ren sparring går jeg oftest til ChatGPT, muligens fordi jeg glemmer at Claude også har lignende webside","Betaler selv, men får refundert fra Digdir; Benytter gratisversjon;",Oversettelse;Ideutvikling;Kodegenerering;Tekstproduksjon;,Effektivisering;En massiv brukermanual du kan sparre med;,"De har nok informasjon om både programmeringsspråket og brukertrender, så man kan rimelig enkelt få god feedback på design-prinsipper og implementasjonsdetaljer. Samt de sitter ofte med svaret på meget obskure løsninger på bugs/edge cases, som kan være ekstremt nyttig til tider",Svært utrygg,Nei,Praktisk bruk av KI-verktøy;,Nei,Manglende tid til å lære;Manglende tilgang til riktige verktøy;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Verken uenig eller enig,Helt enig,Helt enig,Helt enig,Helt enig
BOD;,Seniorrådgiver;Plattform utvikler;,"Ja, daglig",ChatGPT Plus (betalversjon);Github Copilot;,gpt-5,Nei,"Betaler selv, men får refundert fra Digdir;",Kodegenerering;Ideutvikling;,Effektivisering;,,Ganske trygg,Nei,Har ikke behov for mer opplæring nå;,Ja,,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Helt enig,Helt enig,Helt enig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Leder;,"Ja, daglig",ChatGPT Plus (betalversjon);Codex;Google Gemini;,ChatGPT,Nei,Faktureres BOD;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kodegenerering;Beslutningsstøtte;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;,Det effektiviserer oppgaver og gjør meg mer kreativ,Verken utrygg eller trygg,Nei,Juridiske rammer;Informasjonssikkerhet og risiko;,Ja,Manglende tilgang til riktige verktøy;Manglende kompetanse;Personvern;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Delvis enig,Helt enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,